name,category,description,price,unit,availability,seasonStart,seasonEnd,best_before,stock,stock_alert_threshold,allergens,organic,surplus,quality_class,discount_percentage,discount_expiry,discount note,images,img_path
Organic Carrots,vegetable,"Crisp and sweet organic carrots, perfect for snacking or roasting.",1.41,kg,unavailable,january,august,2026-09-30,164,,,False,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/d/da/Organic_Carrot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,organic_carrots.jpg
Red Onions,vegetable,"Sharp and flavorful red onions, ideal for salads and cooking.",1.16,kg,available,january,august,2026-09-26,225,,,True,False,D,0,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Red_Onion_on_White.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,red_onions.jpg
King Edward Potatoes,vegetable,"Versatile floury potatoes, great for mashing or roasting.",2.35,kg,unavailable,may,august,2026-06-11,204,,,False,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/King_Edward.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,king_edward_potatoes.jpg
Baby Spinach,vegetable,"Tender baby spinach leaves, pre-washed and ready to eat.",1.76,g,available,june,february,2026-08-24,387,,,True,True,Discounted,40,,,https://upload.wikimedia.org/wikipedia/commons/4/46/RECALLED-Baby_spinach_%2820800465983%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,baby_spinach.jpg
Broccoli Florets,vegetable,"Fresh green broccoli florets, high in vitamins.",1.72,pcs,unavailable,may,august,2026-08-14,481,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/1/17/Broccoli_plant.jpg,broccoli_florets.jpg
Vine Tomatoes,vegetable,Sweet and juicy tomatoes ripened on the vine.,2.14,kg,unavailable,february,november,2026-08-17,310,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/b/be/Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,vine_tomatoes.jpg
Red Bell Peppers,vegetable,"Crunchy and sweet red peppers, perfect for stir-fries.",0.9,pcs,unavailable,january,december,2026-07-19,151,,,False,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Capsicum_annuum_2008.jpg/1280px-Capsicum_annuum_2008.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser&utm_content=thumbnail,red_bell_peppers.jpg
Cucumber,vegetable,Cool and refreshing garden cucumber.,0.87,pcs,unavailable,january,december,2026-05-16,288,,,True,True,Discounted,23,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kurkkuja.jpg/1280px-Kurkkuja.jpg?utm_source=commons.wikimedia.org&utm_campaign=parser&utm_content=thumbnail,cucumber.jpg
Romaine Lettuce,vegetable,Crisp romaine lettuce hearts for the perfect Caesar salad.,1.1,heads,available,january,december,2026-09-24,157,,,True,False,B,0,,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Romaine_lettuce.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,romaine_lettuce.jpg
Curly Kale,vegetable,"Nutrient-dense curly kale, great for smoothies or kale chips.",1.38,bunch,available,march,october,2026-06-13,16,,,True,True,Discounted,20,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Curly_kale_by_the_A17_-_geograph.org.uk_-_637097.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,curly_kale.jpg
