name,category,description,price,unit,availability,seasonStart,seasonEnd,best_before,stock,stock_alert_threshold,allergens,organic,surplus,discount_percentage,discount_expiry,discount note,images
Product 1,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",18.21,pcs,unavailable,may,october,2026-03-24,476,,,True,True,0,,,
Product 2,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,16.25,pcs,unavailable,july,january,2026-03-25,138,,,True,True,0,,,
Product 3,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",31.81,kg,unavailable,july,april,2026-03-27,492,,,True,True,0,,,
Product 4,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",42.36,kg,available all year,june,november,2026-03-29,404,,,True,True,0,,,
Product 5,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",31.48,l,available,march,august,2026-03-29,135,,,True,True,0,,,
Product 6,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",5.04,pcs,available all year,january,february,2026-03-31,114,,,True,True,0,,,
Product 7,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,43.28,pcs,unavailable,february,april,2026-04-02,297,,,True,True,0,,,
Product 8,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",24.12,pcs,available,december,november,2026-04-02,158,,,True,True,0,,,
Product 9,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,48.19,l,available,december,november,2026-03-28,91,,,True,True,0,,,
Product 10,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",44.14,kg,unavailable,march,july,2026-03-28,120,,,True,True,0,,,
Product 11,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",15.15,dozen,available all year,may,january,2026-03-25,230,,,True,True,0,,,
Product 12,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",38.55,pcs,available all year,february,february,2026-03-25,293,,,True,True,0,,,
Product 13,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,25.96,l,available all year,may,july,2026-04-03,59,,,True,True,0,,,
Product 14,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",28.55,pcs,unavailable,may,may,2026-03-30,30,,,True,True,0,,,
Product 15,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",36.11,pcs,available all year,february,february,2026-03-30,486,,,True,True,0,,,
Product 16,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",49.54,dozen,available,november,april,2026-03-26,298,,,True,True,0,,,
Product 17,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",19.37,pcs,available all year,march,june,2026-03-26,456,,,True,True,0,,,
Product 18,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",48.4,pcs,unavailable,october,march,2026-04-02,278,,,True,True,0,,,
Product 19,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",3.03,kg,unavailable,march,march,2026-04-02,87,,,True,True,0,,,
Product 20,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",25.84,kg,available,october,january,2026-03-27,176,,,True,True,0,,,
Product 21,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",47.9,dozen,available all year,january,december,2026-03-23,405,,,True,True,0,,,
Product 22,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",47.93,dozen,available all year,november,july,2026-03-23,157,,,True,True,0,,,
Product 23,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,24.77,dozen,available,march,march,2026-03-25,429,,,True,True,0,,,
