name,category,description,price,unit,availability,seasonStart,seasonEnd,best_before,food_miles,stock,stock_alert_threshold,allergens,organic,surplus,discount_percentage,discount_expiry,discount note,images,producer_id
Product 1,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",18.21,pcs,unavailable,may,october,2026-03-24,33,476,,,True,True,0,,,,5a492b54-b2c5-4769-b74f-7dafeb6aaaf7
Product 2,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,16.25,pcs,unavailable,july,january,2026-03-25,6,138,,,True,True,0,,,,30504cf5-9c8b-4bc3-8bec-452979b9d4b7
Product 3,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",31.81,kg,unavailable,july,april,2026-03-27,38,492,,,True,True,0,,,,2031ebcc-284d-4e8c-9c1e-e95c77f79fbb
Product 4,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",42.36,kg,available all year,june,november,2026-03-29,42,404,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 5,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",31.48,l,available,march,august,2026-03-29,31,135,,,True,True,0,,,,20da7f93-20bd-4338-90bb-adffd8db3392
Product 6,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",5.04,pcs,available all year,january,february,2026-03-31,30,114,,,True,True,0,,,,bd7e61bc-a3c5-4b24-ba0e-2f0ca9ed1e31
Product 7,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,43.28,pcs,unavailable,february,april,2026-04-02,33,297,,,True,True,0,,,,1ad46d36-5161-4ebf-8b28-06dc44979811
Product 8,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",24.12,pcs,available,december,november,2026-04-02,4,158,,,True,True,0,,,,9f714f07-81b3-41c2-8f92-313b27f97a2e
Product 9,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,48.19,l,available,december,november,2026-03-28,49,91,,,True,True,0,,,,962b7ead-f211-49db-8da9-6470babcf6f3
Product 10,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",44.14,kg,unavailable,march,july,2026-03-28,16,120,,,True,True,0,,,,d7625810-9748-4ad1-a1ad-58e8e50958f5
Product 11,preserve,"Handcrafted preserve made from locally sourced fruit, carefully cooked to retain natural flavour.",15.15,dozen,available all year,may,january,2026-03-25,7,230,,,True,True,0,,,,bd7e61bc-a3c5-4b24-ba0e-2f0ca9ed1e31
Product 12,vegetable,"Locally grown seasonal vegetables harvested at peak freshness, full of flavour and nutrients.",38.55,pcs,available all year,february,february,2026-03-25,24,293,,,True,True,0,,,,c72cf02a-9486-46a8-bffc-b01e58eb9432
Product 13,bakery,Artisan baked goods prepared in small batches using slow fermentation and quality ingredients.,25.96,l,available all year,may,july,2026-04-03,9,59,,,True,True,0,,,,749e4f73-7843-4c80-adf6-b9ddacd05dec
Product 14,dairy,"Creamy, farm-produced dairy item made using traditional methods and locally sourced milk.",28.55,pcs,unavailable,may,may,2026-03-30,33,30,,,True,True,0,,,,bd7e61bc-a3c5-4b24-ba0e-2f0ca9ed1e31
Product 15,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",36.11,pcs,available all year,february,february,2026-03-30,21,486,,,True,True,0,,,,34ddc4d2-34dd-46d6-8063-207a654ceb58
Product 16,fruit,"Limited seasonal speciality available for a short time, celebrating the best of local harvests.",49.54,dozen,available,november,april,2026-03-26,46,298,,,True,True,0,,,,62548cdc-50c7-47df-ad1a-597d7fadc5cf
